00001 A00     0 Cholera                                                      Cholera
94949 Z867    0 Personal history of diseases of the circulatory system       Personal history of diseases of the circulatory system
94950 Z8671   0 Personal history of venous thrombosis and embolism           Personal history of venous thrombosis and embolism
94951 Z86711  1 Personal history of pulmonary embolism                       Personal history of pulmonary embolism
94952 Z86718  1 Personal history of other venous thrombosis and embolism     Personal history of other venous thrombosis and embolism
94953 Z8672   1 Personal history of thrombophlebitis                         Personal history of thrombophlebitis
94954 Z8673   1 Prsnl hx of TIA (TIA), and cereb infrc w/o resid deficits    Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits
94955 Z8674   1 Personal history of sudden cardiac arrest                    Personal history of sudden cardiac arrest
94956 Z8679   1 Personal history of other diseases of the circulatory system Personal history of other diseases of the circulatory system
94957 Z87     0 Personal history of other diseases and conditions            Personal history of other diseases and conditions
94958 Z870    0 Personal history of diseases of the respiratory system       Personal history of diseases of the respiratory system
94959 Z8701   1 Personal history of pneumonia (recurrent)                    Personal history of pneumonia (recurrent)
94960 Z8709   1 Personal history of other diseases of the respiratory system Personal history of other diseases of the respiratory system
94961 Z871    0 Personal history of diseases of the digestive system         Personal history of diseases of the digestive system
94962 Z8711   1 Personal history of peptic ulcer disease                     Personal history of peptic ulcer disease
94963 Z8719   1 Personal history of other diseases of the digestive system   Personal history of other diseases of the digestive system
94964 Z872    1 Personal history of diseases of the skin, subcu              Personal history of diseases of the skin and subcutaneous tissue
94965 Z873    0 Personal history of diseases of the ms sys and conn tiss     Personal history of diseases of the musculoskeletal system and connective tissue
94966 Z8731   0 Personal history of (healed) nontraumatic fracture           Personal history of (healed) nontraumatic fracture
94967 Z87310  1 Personal history of (healed) osteoporosis fracture           Personal history of (healed) osteoporosis fracture
94968 Z87311  1 Personal history of (healed) other pathological fracture     Personal history of (healed) other pathological fracture
94969 Z87312  1 Personal history of (healed) stress fracture                 Personal history of (healed) stress fracture
94970 Z8739   1 Personal history of diseases of the ms sys and conn tiss     Personal history of other diseases of the musculoskeletal system and connective tissue
94971 Z874    0 Personal history of diseases of genitourinary system         Personal history of diseases of genitourinary system
94972 Z8741   0 Personal history of dysplasia of the female genital tract    Personal history of dysplasia of the female genital tract
94973 Z87410  1 Personal history of cervical dysplasia                       Personal history of cervical dysplasia
94974 Z87411  1 Personal history of vaginal dysplasia                        Personal history of vaginal dysplasia
94975 Z87412  1 Personal history of vulvar dysplasia                         Personal history of vulvar dysplasia
94976 Z8742   1 Personal history of oth diseases of the female genital tract Personal history of other diseases of the female genital tract
94977 Z8743   0 Personal history of diseases of male genital organs          Personal history of diseases of male genital organs
94978 Z87430  1 Personal history of prostatic dysplasia                      Personal history of prostatic dysplasia
94979 Z87438  1 Personal history of other diseases of male genital organs    Personal history of other diseases of male genital organs
94980 Z8744   0 Personal history of diseases of urinary system               Personal history of diseases of urinary system
94981 Z87440  1 Personal history of urinary (tract) infections               Personal history of urinary (tract) infections
94982 Z87441  1 Personal history of nephrotic syndrome                       Personal history of nephrotic syndrome
94983 Z87442  1 Personal history of urinary calculi                          Personal history of urinary calculi
94984 Z87448  1 Personal history of other diseases of urinary system         Personal history of other diseases of urinary system
94985 Z875    0 Personal history of comp of preg, chldbrth and the puerp     Personal history of complications of pregnancy, childbirth and the puerperium
94986 Z8751   1 Personal history of pre-term labor                           Personal history of pre-term labor
94987 Z8759   1 Personal history of comp of preg, chldbrth and the puerp     Personal history of other complications of pregnancy, childbirth and the puerperium
94988 Z877    0 Personal history of (corrected) congenital malformations     Personal history of (corrected) congenital malformations
94989 Z8771   0 Personal history of (corrected) congenital malform of GU sys Personal history of (corrected) congenital malformations of genitourinary system
94990 Z87710  1 Personal history of (corrected) hypospadias                  Personal history of (corrected) hypospadias
94991 Z87718  1 Personal history of (corrected) congenital malform of GU sys Personal history of other specified (corrected) congenital malformations of genitourinary system
94992 Z8772   0 Prsnl hx of congen malform of nervous sys and sense organs   Personal history of (corrected) congenital malformations of nervous system and sense organs
94993 Z87720  1 Personal history of (corrected) congenital malform of eye    Personal history of (corrected) congenital malformations of eye
94994 Z87721  1 Personal history of (corrected) congenital malform of ear    Personal history of (corrected) congenital malformations of ear
94995 Z87728  1 Prsnl hx of congen malform of nervous sys and sense organs   Personal history of other specified (corrected) congenital malformations of nervous system and sense organs
94996 Z8773   0 Personal history of congenital malform of dgstv sys          Personal history of (corrected) congenital malformations of digestive system
94997 Z87730  1 Personal history of (corrected) cleft lip and palate         Personal history of (corrected) cleft lip and palate
94998 Z87738  1 Personal history of congenital malform of dgstv sys          Personal history of other specified (corrected) congenital malformations of digestive system
94999 Z8774   1 Personal history of congenital malform of heart and circ sys Personal history of (corrected) congenital malformations of heart and circulatory system
95000 Z8775   1 Personal history of congenital malform of resp sys           Personal history of (corrected) congenital malformations of respiratory system
95001 Z8776   1 Prsnl hx of congen malform of integument, limbs and ms sys   Personal history of (corrected) congenital malformations of integument, limbs and musculoskeletal system
95002 Z8779   0 Personal history of oth (corrected) congenital malformations Personal history of other (corrected) congenital malformations
95003 Z87790  1 Personal history of congenital malform of face and neck      Personal history of (corrected) congenital malformations of face and neck
95004 Z87798  1 Personal history of oth (corrected) congenital malformations Personal history of other (corrected) congenital malformations
95005 Z878    0 Personal history of other specified conditions               Personal history of other specified conditions
95006 Z8781   1 Personal history of (healed) traumatic fracture              Personal history of (healed) traumatic fracture
95007 Z8782   0 Personal history of oth (healed) physical injury and trauma  Personal history of other (healed) physical injury and trauma
95008 Z87820  1 Personal history of traumatic brain injury                   Personal history of traumatic brain injury
95009 Z87821  1 Personal history of retained foreign body fully removed      Personal history of retained foreign body fully removed
95010 Z87828  1 Personal history of oth (healed) physical injury and trauma  Personal history of other (healed) physical injury and trauma
95011 Z8789   0 Personal history of other specified conditions               Personal history of other specified conditions
95012 Z87890  1 Personal history of sex reassignment                         Personal history of sex reassignment
95013 Z87891  1 Personal history of nicotine dependence                      Personal history of nicotine dependence
95014 Z87892  1 Personal history of anaphylaxis                              Personal history of anaphylaxis
95015 Z87898  1 Personal history of other specified conditions               Personal history of other specified conditions
95016 Z88     0 Allergy status to drug/meds/biol subst                       Allergy status to drugs, medicaments and biological substances
95017 Z880    1 Allergy status to penicillin                                 Allergy status to penicillin
95018 Z881    1 Allergy status to other antibiotic agents                    Allergy status to other antibiotic agents
95019 Z882    1 Allergy status to sulfonamides                               Allergy status to sulfonamides
95020 Z883    1 Allergy status to other anti-infective agents                Allergy status to other anti-infective agents
95021 Z884    1 Allergy status to anesthetic agent                           Allergy status to anesthetic agent
95022 Z885    1 Allergy status to narcotic agent                             Allergy status to narcotic agent
95023 Z886    1 Allergy status to analgesic agent                            Allergy status to analgesic agent
95024 Z887    1 Allergy status to serum and vaccine                          Allergy status to serum and vaccine
95025 Z888    1 Allergy status to other drug/meds/biol subst                 Allergy status to other drugs, medicaments and biological substances
95026 Z889    1 Allergy status to unspecified drug/meds/biol subst           Allergy status to unspecified drugs, medicaments and biological substances
95027 Z89     0 Acquired absence of limb                                     Acquired absence of limb
95028 Z890    0 Acquired absence of thumb and other finger(s)                Acquired absence of thumb and other finger(s)
95029 Z8901   0 Acquired absence of thumb                                    Acquired absence of thumb
95030 Z89011  1 Acquired absence of right thumb                              Acquired absence of right thumb
95031 Z89012  1 Acquired absence of left thumb                               Acquired absence of left thumb
95032 Z89019  1 Acquired absence of unspecified thumb                        Acquired absence of unspecified thumb
95033 Z8902   0 Acquired absence of other finger(s)                          Acquired absence of other finger(s)
95034 Z89021  1 Acquired absence of right finger(s)                          Acquired absence of right finger(s)
95035 Z89022  1 Acquired absence of left finger(s)                           Acquired absence of left finger(s)
95036 Z89029  1 Acquired absence of unspecified finger(s)                    Acquired absence of unspecified finger(s)
95037 Z891    0 Acquired absence of hand and wrist                           Acquired absence of hand and wrist
95038 Z8911   0 Acquired absence of hand                                     Acquired absence of hand
95039 Z89111  1 Acquired absence of right hand                               Acquired absence of right hand
95040 Z89112  1 Acquired absence of left hand                                Acquired absence of left hand
95041 Z89119  1 Acquired absence of unspecified hand                         Acquired absence of unspecified hand
95042 Z8912   0 Acquired absence of wrist                                    Acquired absence of wrist
95043 Z89121  1 Acquired absence of right wrist                              Acquired absence of right wrist
95044 Z89122  1 Acquired absence of left wrist                               Acquired absence of left wrist
95045 Z89129  1 Acquired absence of unspecified wrist                        Acquired absence of unspecified wrist
95046 Z892    0 Acquired absence of upper limb above wrist                   Acquired absence of upper limb above wrist
95047 Z8920   0 Acquired absence of upper limb, unspecified level            Acquired absence of upper limb, unspecified level
95048 Z89201  1 Acquired absence of right upper limb, unspecified level      Acquired absence of right upper limb, unspecified level
95049 Z89202  1 Acquired absence of left upper limb, unspecified level       Acquired absence of left upper limb, unspecified level
95050 Z89209  1 Acquired absence of unsp upper limb, unspecified level       Acquired absence of unspecified upper limb, unspecified level
95051 Z8921   0 Acquired absence of upper limb below elbow                   Acquired absence of upper limb below elbow
95052 Z89211  1 Acquired absence of right upper limb below elbow             Acquired absence of right upper limb below elbow
95053 Z89212  1 Acquired absence of left upper limb below elbow              Acquired absence of left upper limb below elbow
95054 Z89219  1 Acquired absence of unspecified upper limb below elbow       Acquired absence of unspecified upper limb below elbow
95055 Z8922   0 Acquired absence of upper limb above elbow                   Acquired absence of upper limb above elbow
95056 Z89221  1 Acquired absence of right upper limb above elbow             Acquired absence of right upper limb above elbow
95057 Z89222  1 Acquired absence of left upper limb above elbow              Acquired absence of left upper limb above elbow
95058 Z89229  1 Acquired absence of unspecified upper limb above elbow       Acquired absence of unspecified upper limb above elbow
95059 Z8923   0 Acquired absence of shoulder                                 Acquired absence of shoulder
95060 Z89231  1 Acquired absence of right shoulder                           Acquired absence of right shoulder
95061 Z89232  1 Acquired absence of left shoulder                            Acquired absence of left shoulder
95062 Z89239  1 Acquired absence of unspecified shoulder                     Acquired absence of unspecified shoulder
95063 Z894    0 Acquired absence of toe(s), foot, and ankle                  Acquired absence of toe(s), foot, and ankle
95064 Z8941   0 Acquired absence of great toe                                Acquired absence of great toe
95065 Z89411  1 Acquired absence of right great toe                          Acquired absence of right great toe
95066 Z89412  1 Acquired absence of left great toe                           Acquired absence of left great toe
95067 Z89419  1 Acquired absence of unspecified great toe                    Acquired absence of unspecified great toe
95068 Z8942   0 Acquired absence of other toe(s)                             Acquired absence of other toe(s)
95069 Z89421  1 Acquired absence of other right toe(s)                       Acquired absence of other right toe(s)
95070 Z89422  1 Acquired absence of other left toe(s)                        Acquired absence of other left toe(s)
95071 Z89429  1 Acquired absence of other toe(s), unspecified side           Acquired absence of other toe(s), unspecified side
95072 Z8943   0 Acquired absence of foot                                     Acquired absence of foot
95073 Z89431  1 Acquired absence of right foot                               Acquired absence of right foot
95074 Z89432  1 Acquired absence of left foot                                Acquired absence of left foot
95075 Z89439  1 Acquired absence of unspecified foot                         Acquired absence of unspecified foot
95076 Z8944   0 Acquired absence of ankle                                    Acquired absence of ankle
95077 Z89441  1 Acquired absence of right ankle                              Acquired absence of right ankle
95078 Z89442  1 Acquired absence of left ankle                               Acquired absence of left ankle
95079 Z89449  1 Acquired absence of unspecified ankle                        Acquired absence of unspecified ankle
95080 Z895    0 Acquired absence of leg below knee                           Acquired absence of leg below knee
95081 Z8951   0 Acquired absence of leg below knee                           Acquired absence of leg below knee
95082 Z89511  1 Acquired absence of right leg below knee                     Acquired absence of right leg below knee
95083 Z89512  1 Acquired absence of left leg below knee                      Acquired absence of left leg below knee
95084 Z89519  1 Acquired absence of unspecified leg below knee               Acquired absence of unspecified leg below knee
95085 Z8952   0 Acquired absence of knee                                     Acquired absence of knee
95086 Z89521  1 Acquired absence of right knee                               Acquired absence of right knee
95087 Z89522  1 Acquired absence of left knee                                Acquired absence of left knee
95088 Z89529  1 Acquired absence of unspecified knee                         Acquired absence of unspecified knee
95089 Z896    0 Acquired absence of leg above knee                           Acquired absence of leg above knee
95090 Z8961   0 Acquired absence of leg above knee                           Acquired absence of leg above knee
95091 Z89611  1 Acquired absence of right leg above knee                     Acquired absence of right leg above knee
95092 Z89612  1 Acquired absence of left leg above knee                      Acquired absence of left leg above knee
95093 Z89619  1 Acquired absence of unspecified leg above knee               Acquired absence of unspecified leg above knee
95094 Z8962   0 Acquired absence of hip                                      Acquired absence of hip
95095 Z89621  1 Acquired absence of right hip joint                          Acquired absence of right hip joint
95096 Z89622  1 Acquired absence of left hip joint                           Acquired absence of left hip joint
95097 Z89629  1 Acquired absence of unspecified hip joint                    Acquired absence of unspecified hip joint
95098 Z899    1 Acquired absence of limb, unspecified                        Acquired absence of limb, unspecified
95099 Z90     0 Acquired absence of organs, not elsewhere classified         Acquired absence of organs, not elsewhere classified
95100 Z900    0 Acquired absence of part of head and neck                    Acquired absence of part of head and neck
95101 Z9001   1 Acquired absence of eye                                      Acquired absence of eye
95102 Z9002   1 Acquired absence of larynx                                   Acquired absence of larynx
95103 Z9009   1 Acquired absence of other part of head and neck              Acquired absence of other part of head and neck
95104 Z901    0 Acquired absence of breast and nipple                        Acquired absence of breast and nipple
95105 Z9010   1 Acquired absence of unspecified breast and nipple            Acquired absence of unspecified breast and nipple
95106 Z9011   1 Acquired absence of right breast and nipple                  Acquired absence of right breast and nipple
95107 Z9012   1 Acquired absence of left breast and nipple                   Acquired absence of left breast and nipple
95108 Z9013   1 Acquired absence of bilateral breasts and nipples            Acquired absence of bilateral breasts and nipples
95109 Z902    1 Acquired absence of lung [part of]                           Acquired absence of lung [part of]
95110 Z903    1 Acquired absence of stomach [part of]                        Acquired absence of stomach [part of]
95111 Z904    0 Acquired absence of other specified parts of digestive tract Acquired absence of other specified parts of digestive tract
95112 Z9041   0 Acquired absence of pancreas                                 Acquired absence of pancreas
95113 Z90410  1 Acquired total absence of pancreas                           Acquired total absence of pancreas
95114 Z90411  1 Acquired partial absence of pancreas                         Acquired partial absence of pancreas
95115 Z9049   1 Acquired absence of other specified parts of digestive tract Acquired absence of other specified parts of digestive tract
95116 Z905    1 Acquired absence of kidney                                   Acquired absence of kidney
95117 Z906    1 Acquired absence of other parts of urinary tract             Acquired absence of other parts of urinary tract
95118 Z907    0 Acquired absence of genital organ(s)                         Acquired absence of genital organ(s)
95119 Z9071   0 Acquired absence of cervix and uterus                        Acquired absence of cervix and uterus
95120 Z90710  1 Acquired absence of both cervix and uterus                   Acquired absence of both cervix and uterus
95121 Z90711  1 Acquired absence of uterus with remaining cervical stump     Acquired absence of uterus with remaining cervical stump
95122 Z90712  1 Acquired absence of cervix with remaining uterus             Acquired absence of cervix with remaining uterus
95123 Z9072   0 Acquired absence of ovaries                                  Acquired absence of ovaries
95124 Z90721  1 Acquired absence of ovaries, unilateral                      Acquired absence of ovaries, unilateral
95125 Z90722  1 Acquired absence of ovaries, bilateral                       Acquired absence of ovaries, bilateral
95126 Z9079   1 Acquired absence of other genital organ(s)                   Acquired absence of other genital organ(s)
95127 Z908    0 Acquired absence of other organs                             Acquired absence of other organs
95128 Z9081   1 Acquired absence of spleen                                   Acquired absence of spleen
95129 Z9089   1 Acquired absence of other organs                             Acquired absence of other organs
95130 Z91     0 Personal risk factors, not elsewhere classified              Personal risk factors, not elsewhere classified
95131 Z910    0 Allergy status, oth than to drugs and biological substances  Allergy status, other than to drugs and biological substances
95132 Z9101   0 Food allergy status                                          Food allergy status
95133 Z91010  1 Allergy to peanuts                                           Allergy to peanuts
95134 Z91011  1 Allergy to milk products                                     Allergy to milk products
95135 Z91012  1 Allergy to eggs                                              Allergy to eggs
95136 Z91013  1 Allergy to seafood                                           Allergy to seafood
95137 Z91018  1 Allergy to other foods                                       Allergy to other foods
95138 Z9102   1 Food additives allergy status                                Food additives allergy status
95139 Z9103   0 Insect allergy status                                        Insect allergy status
95140 Z91030  1 Bee allergy status                                           Bee allergy status
95141 Z91038  1 Other insect allergy status                                  Other insect allergy status
95142 Z9104   0 Nonmedicinal substance allergy status                        Nonmedicinal substance allergy status
95143 Z91040  1 Latex allergy status                                         Latex allergy status
95144 Z91041  1 Radiographic dye allergy status                              Radiographic dye allergy status
95145 Z91048  1 Other nonmedicinal substance allergy status                  Other nonmedicinal substance allergy status
95146 Z9109   1 Oth allergy status, oth than to drugs and biolg substances   Other allergy status, other than to drugs and biological substances
95147 Z911    0 Patient's noncompliance with medical treatment and regimen   Patient's noncompliance with medical treatment and regimen
95148 Z9111   1 Patient's noncompliance with dietary regimen                 Patient's noncompliance with dietary regimen
95149 Z9112   0 Patient's intentional underdosing of medication regimen      Patient's intentional underdosing of medication regimen
95150 Z91120  1 Pt intentl undrdose of meds regimen due to financl hardship  Patient's intentional underdosing of medication regimen due to financial hardship
95151 Z91128  1 Patient's intentl undrdose of meds regimen for oth reason    Patient's intentional underdosing of medication regimen for other reason
95152 Z9113   0 Patient's unintentional underdosing of medication regimen    Patient's unintentional underdosing of medication regimen
95153 Z91130  1 Pt unintent undrdose of meds regimen due to age-rel debility Patient's unintentional underdosing of medication regimen due to age-related debility
95154 Z91138  1 Patient's unintent undrdose of meds regimen for oth reason   Patient's unintentional underdosing of medication regimen for other reason
95155 Z9114   1 Patient's other noncompliance with medication regimen        Patient's other noncompliance with medication regimen
95156 Z9115   1 Patient's noncompliance with renal dialysis                  Patient's noncompliance with renal dialysis
95157 Z9119   1 Patient's noncompliance w oth medical treatment and regimen  Patient's noncompliance with other medical treatment and regimen
95158 Z914    0 Personal history of psychological trauma, NEC                Personal history of psychological trauma, not elsewhere classified
95159 Z9141   0 Personal history of adult abuse                              Personal history of adult abuse
95160 Z91410  1 Personal history of adult physical and sexual abuse          Personal history of adult physical and sexual abuse
95161 Z91411  1 Personal history of adult psychological abuse                Personal history of adult psychological abuse
95162 Z91412  1 Personal history of adult neglect                            Personal history of adult neglect
95163 Z91419  1 Personal history of unspecified adult abuse                  Personal history of unspecified adult abuse
95164 Z9142   1 Personal history of forced labor or sexual exploitation      Personal history of forced labor or sexual exploitation
95165 Z9149   1 Oth personal history of psychological trauma, NEC            Other personal history of psychological trauma, not elsewhere classified
95166 Z915    1 Personal history of self-harm                                Personal history of self-harm
95167 Z918    0 Oth personal risk factors, not elsewhere classified          Other specified personal risk factors, not elsewhere classified
95168 Z9181   1 History of falling                                           History of falling
95169 Z9182   1 Personal history of military deployment                      Personal history of military deployment
95170 Z9183   1 Wandering in diseases classified elsewhere                   Wandering in diseases classified elsewhere
95171 Z9184   0 Oral health risk factors                                     Oral health risk factors
95172 Z91841  1 Risk for dental caries, low                                  Risk for dental caries, low
95173 Z91842  1 Risk for dental caries, moderate                             Risk for dental caries, moderate
95174 Z91843  1 Risk for dental caries, high                                 Risk for dental caries, high
95175 Z91849  1 Unspecified risk for dental caries                           Unspecified risk for dental caries
95176 Z9189   1 Oth personal risk factors, not elsewhere classified          Other specified personal risk factors, not elsewhere classified
95177 Z92     0 Personal history of medical treatment                        Personal history of medical treatment
95178 Z920    1 Personal history of contraception                            Personal history of contraception
95179 Z922    0 Personal history of drug therapy                             Personal history of drug therapy
95180 Z9221   1 Personal history of antineoplastic chemotherapy              Personal history of antineoplastic chemotherapy
95181 Z9222   1 Personal history of monoclonal drug therapy                  Personal history of monoclonal drug therapy
95182 Z9223   1 Personal history of estrogen therapy                         Personal history of estrogen therapy
95183 Z9224   0 Personal history of steroid therapy                          Personal history of steroid therapy
95184 Z92240  1 Personal history of inhaled steroid therapy                  Personal history of inhaled steroid therapy
95185 Z92241  1 Personal history of systemic steroid therapy                 Personal history of systemic steroid therapy
95186 Z9225   1 Personal history of immunosupression therapy                 Personal history of immunosupression therapy
95187 Z9229   1 Personal history of other drug therapy                       Personal history of other drug therapy
95188 Z923    1 Personal history of irradiation                              Personal history of irradiation
95189 Z928    0 Personal history of other medical treatment                  Personal history of other medical treatment
95190 Z9281   1 Prsnl history of extracorporeal membrane oxygenation (ECMO)  Personal history of extracorporeal membrane oxygenation (ECMO)
95191 Z9282   1 S/p admn tPA in diff fac w/n last 24 hr bef adm to crnt fac  Status post administration of tPA (rtPA) in a different facility within the last 24 hours prior to admission to current facility
95192 Z9283   1 Personal history of failed moderate sedation                 Personal history of failed moderate sedation
95193 Z9284   1 Pers hx of unintended awareness under general anesthesia     Personal history of unintended awareness under general anesthesia
95194 Z9289   1 Personal history of other medical treatment                  Personal history of other medical treatment
95195 Z93     0 Artificial opening status                                    Artificial opening status
95196 Z930    1 Tracheostomy status                                          Tracheostomy status
95197 Z931    1 Gastrostomy status                                           Gastrostomy status
95198 Z932    1 Ileostomy status                                             Ileostomy status
95199 Z933    1 Colostomy status                                             Colostomy status
95200 Z934    1 Other artificial openings of gastrointestinal tract status   Other artificial openings of gastrointestinal tract status
95201 Z935    0 Cystostomy status                                            Cystostomy status
95202 Z9350   1 Unspecified cystostomy status                                Unspecified cystostomy status
95203 Z9351   1 Cutaneous-vesicostomy status                                 Cutaneous-vesicostomy status
95204 Z9352   1 Appendico-vesicostomy status                                 Appendico-vesicostomy status
95205 Z9359   1 Other cystostomy status                                      Other cystostomy status
95206 Z936    1 Other artificial openings of urinary tract status            Other artificial openings of urinary tract status
95207 Z938    1 Other artificial opening status                              Other artificial opening status
95208 Z939    1 Artificial opening status, unspecified                       Artificial opening status, unspecified
95209 Z94     0 Transplanted organ and tissue status                         Transplanted organ and tissue status
95210 Z940    1 Kidney transplant status                                     Kidney transplant status
95211 Z941    1 Heart transplant status                                      Heart transplant status
95212 Z942    1 Lung transplant status                                       Lung transplant status
95213 Z943    1 Heart and lungs transplant status                            Heart and lungs transplant status
95214 Z944    1 Liver transplant status                                      Liver transplant status
95215 Z945    1 Skin transplant status                                       Skin transplant status
95216 Z946    1 Bone transplant status                                       Bone transplant status
95217 Z947    1 Corneal transplant status                                    Corneal transplant status
95218 Z948    0 Other transplanted organ and tissue status                   Other transplanted organ and tissue status
95219 Z9481   1 Bone marrow transplant status                                Bone marrow transplant status
95220 Z9482   1 Intestine transplant status                                  Intestine transplant status
95221 Z9483   1 Pancreas transplant status                                   Pancreas transplant status
95222 Z9484   1 Stem cells transplant status                                 Stem cells transplant status
95223 Z9489   1 Other transplanted organ and tissue status                   Other transplanted organ and tissue status
95224 Z949    1 Transplanted organ and tissue status, unspecified            Transplanted organ and tissue status, unspecified
95225 Z95     0 Presence of cardiac and vascular implants and grafts         Presence of cardiac and vascular implants and grafts
95226 Z950    1 Presence of cardiac pacemaker                                Presence of cardiac pacemaker
95227 Z951    1 Presence of aortocoronary bypass graft                       Presence of aortocoronary bypass graft
95228 Z952    1 Presence of prosthetic heart valve                           Presence of prosthetic heart valve
95229 Z953    1 Presence of xenogenic heart valve                            Presence of xenogenic heart valve
95230 Z954    1 Presence of other heart-valve replacement                    Presence of other heart-valve replacement
95231 Z955    1 Presence of coronary angioplasty implant and graft           Presence of coronary angioplasty implant and graft
95232 Z958    0 Presence of other cardiac and vascular implants and grafts   Presence of other cardiac and vascular implants and grafts
95233 Z9581   0 Presence of other cardiac implants and grafts                Presence of other cardiac implants and grafts
95234 Z95810  1 Presence of automatic (implantable) cardiac defibrillator    Presence of automatic (implantable) cardiac defibrillator
95235 Z95811  1 Presence of heart assist device                              Presence of heart assist device
95236 Z95812  1 Presence of fully implantable artificial heart               Presence of fully implantable artificial heart
95237 Z95818  1 Presence of other cardiac implants and grafts                Presence of other cardiac implants and grafts
95238 Z9582   0 Presence of other vascular implants and grafts               Presence of other vascular implants and grafts
95239 Z95820  1 Peripheral vascular angioplasty status w implants and grafts Peripheral vascular angioplasty status with implants and grafts
95240 Z95828  1 Presence of other vascular implants and grafts               Presence of other vascular implants and grafts
95241 Z959    1 Presence of cardiac and vascular implant and graft, unsp     Presence of cardiac and vascular implant and graft, unspecified
95242 Z96     0 Presence of other functional implants                        Presence of other functional implants
95243 Z960    1 Presence of urogenital implants                              Presence of urogenital implants
95244 Z961    1 Presence of intraocular lens                                 Presence of intraocular lens
95245 Z962    0 Presence of otological and audiological implants             Presence of otological and audiological implants
95246 Z9620   1 Presence of otological and audiological implant, unspecified Presence of otological and audiological implant, unspecified
95247 Z9621   1 Cochlear implant status                                      Cochlear implant status
95248 Z9622   1 Myringotomy tube(s) status                                   Myringotomy tube(s) status
95249 Z9629   1 Presence of other otological and audiological implants       Presence of other otological and audiological implants
95250 Z963    1 Presence of artificial larynx                                Presence of artificial larynx
95251 Z964    0 Presence of endocrine implants                               Presence of endocrine implants
95252 Z9641   1 Presence of insulin pump (external) (internal)               Presence of insulin pump (external) (internal)
95253 Z9649   1 Presence of other endocrine implants                         Presence of other endocrine implants
95254 Z965    1 Presence of tooth-root and mandibular implants               Presence of tooth-root and mandibular implants
95255 Z966    0 Presence of orthopedic joint implants                        Presence of orthopedic joint implants
95256 Z9660   1 Presence of unspecified orthopedic joint implant             Presence of unspecified orthopedic joint implant
95257 Z9661   0 Presence of artificial shoulder joint                        Presence of artificial shoulder joint
95258 Z96611  1 Presence of right artificial shoulder joint                  Presence of right artificial shoulder joint
95259 Z96612  1 Presence of left artificial shoulder joint                   Presence of left artificial shoulder joint
95260 Z96619  1 Presence of unspecified artificial shoulder joint            Presence of unspecified artificial shoulder joint
95261 Z9662   0 Presence of artificial elbow joint                           Presence of artificial elbow joint
95262 Z96621  1 Presence of right artificial elbow joint                     Presence of right artificial elbow joint
95263 Z96622  1 Presence of left artificial elbow joint                      Presence of left artificial elbow joint
95264 Z96629  1 Presence of unspecified artificial elbow joint               Presence of unspecified artificial elbow joint
95265 Z9663   0 Presence of artificial wrist joint                           Presence of artificial wrist joint
95266 Z96631  1 Presence of right artificial wrist joint                     Presence of right artificial wrist joint
95267 Z96632  1 Presence of left artificial wrist joint                      Presence of left artificial wrist joint
95268 Z96639  1 Presence of unspecified artificial wrist joint               Presence of unspecified artificial wrist joint
95269 Z9664   0 Presence of artificial hip joint                             Presence of artificial hip joint
95270 Z96641  1 Presence of right artificial hip joint                       Presence of right artificial hip joint
95271 Z96642  1 Presence of left artificial hip joint                        Presence of left artificial hip joint
95272 Z96643  1 Presence of artificial hip joint, bilateral                  Presence of artificial hip joint, bilateral
95273 Z96649  1 Presence of unspecified artificial hip joint                 Presence of unspecified artificial hip joint
95274 Z9665   0 Presence of artificial knee joint                            Presence of artificial knee joint
95275 Z96651  1 Presence of right artificial knee joint                      Presence of right artificial knee joint
95276 Z96652  1 Presence of left artificial knee joint                       Presence of left artificial knee joint
95277 Z96653  1 Presence of artificial knee joint, bilateral                 Presence of artificial knee joint, bilateral
95278 Z96659  1 Presence of unspecified artificial knee joint                Presence of unspecified artificial knee joint
95279 Z9666   0 Presence of artificial ankle joint                           Presence of artificial ankle joint
95280 Z96661  1 Presence of right artificial ankle joint                     Presence of right artificial ankle joint
95281 Z96662  1 Presence of left artificial ankle joint                      Presence of left artificial ankle joint
95282 Z96669  1 Presence of unspecified artificial ankle joint               Presence of unspecified artificial ankle joint
95283 Z9669   0 Presence of other orthopedic joint implants                  Presence of other orthopedic joint implants
95284 Z96691  1 Finger-joint replacement of right hand                       Finger-joint replacement of right hand
95285 Z96692  1 Finger-joint replacement of left hand                        Finger-joint replacement of left hand
95286 Z96693  1 Finger-joint replacement, bilateral                          Finger-joint replacement, bilateral
95287 Z96698  1 Presence of other orthopedic joint implants                  Presence of other orthopedic joint implants
95288 Z967    1 Presence of other bone and tendon implants                   Presence of other bone and tendon implants
95289 Z968    0 Presence of other specified functional implants              Presence of other specified functional implants
95290 Z9681   1 Presence of artificial skin                                  Presence of artificial skin
95291 Z9682   1 Presence of neurostimulator                                  Presence of neurostimulator
95292 Z9689   1 Presence of other specified functional implants              Presence of other specified functional implants
95293 Z969    1 Presence of functional implant, unspecified                  Presence of functional implant, unspecified
95294 Z97     0 Presence of other devices                                    Presence of other devices
95295 Z970    1 Presence of artificial eye                                   Presence of artificial eye
95296 Z971    0 Presence of artificial limb (complete) (partial)             Presence of artificial limb (complete) (partial)
